review_bucket,image_path,thumbnail,compound_reasons,caption_text,width,height,is_compound,notes
aspect_only,images/relevant/05892-10641945__12905_2023_2722_Fig1_HTML.jpg,aspect_only__05892-10641945__12905_2023_2722_Fig1_HTML.jpg,wide_aspect_1.90,"Small cell carcinoma (SCC), CD56 (+),Immunohistochemistry(IHC)200×",669,352,0,
aspect_only,images/relevant/08060-11903047__crg-2025-0019-0001-543564_F01.jpg,aspect_only__08060-11903047__crg-2025-0019-0001-543564_F01.jpg,wide_aspect_1.98,a The tumor with accumulated FDG (SUVmax = 5.49) was detected in the middle thoracic esophagus. b The tumor was confirmed as a low-absorption area on contrast-enhanced computed tomography. c The tumor,779,394,1,
aspect_only,images/relevant/08458-12090436__13256_2025_5301_Fig5_HTML.jpg,aspect_only__08458-12090436__13256_2025_5301_Fig5_HTML.jpg,wide_aspect_2.25,"This figure shows irregular endometrial-like glandular structures and stroma embedded within fibrous tissue, characteristic of endometriosis. Hemosiderin-laden macrophages are present",1593,707,0,
aspect_only,images/relevant/09835-12830431__261_2025_5058_Fig4_HTML.jpg,aspect_only__09835-12830431__261_2025_5058_Fig4_HTML.jpg,wide_aspect_2.64,"Stage IB grade 2 endometrioid carcinoma, no LVSI in a 60-year-old woman. A Sagittal T2-weighted fast spin-echo (FSE) image (TR/TE: 4500/100 ms; slice thickness: 3 mm) and B axial oblique T2-weighted f",685,259,1,
aspect_only,images/relevant/01787-4946133__12957_2016_943_Fig2_HTML.jpg,aspect_only__01787-4946133__12957_2016_943_Fig2_HTML.jpg,wide_aspect_2.81,Liver magnetic resonance image (MRI) after the patient have continued irregular fever for 1 month,567,202,1,
aspect_only,images/relevant/07567-11568866__cureus-0016-00000071688-i05.jpg,aspect_only__07567-11568866__cureus-0016-00000071688-i05.jpg,wide_aspect_2.29,Ultrasound 25 days post-delivery involuted the uterus and decreased the size of the fibroid to 7.6 cm,750,328,1,
aspect_only,images/relevant/08459-12090436__13256_2025_5301_Fig6_HTML.jpg,aspect_only__08459-12090436__13256_2025_5301_Fig6_HTML.jpg,wide_aspect_2.25,"This figure shows irregular endometrial-like glandular structures and stroma embedded within fibrous tissue, characteristic of endometriosis. Hemosiderin-laden macrophages are present",1593,707,0,
aspect_only,images/relevant/06591-11040999__13256_2024_4476_Fig3_HTML.jpg,aspect_only__06591-11040999__13256_2024_4476_Fig3_HTML.jpg,wide_aspect_2.95,A Sex cord-stromal tumors with annular tubules characterized by annular tubular complexes filled with dense hyaline material. Tumor cells presented eosinophilic to pale cytoplasm with a round nuclei (,1592,540,1,
aspect_only,images/relevant/05862-10618130__40792_2023_1770_Fig5_HTML.jpg,aspect_only__05862-10618130__40792_2023_1770_Fig5_HTML.jpg,wide_aspect_3.02,Histological findings of the biopsy specimen of the breast. Histological findings of the biopsy specimen are shown. A Hematoxylin and eosin staining revealed a marked lymphocyte infiltration surroundi,784,260,1,
aspect_only,images/relevant/05681-10509101__40792_2023_1753_Fig4_HTML.jpg,aspect_only__05681-10509101__40792_2023_1753_Fig4_HTML.jpg,wide_aspect_2.68,CT and PET/CT findings of case 2. a CT image shows small low-density lesions. b PET/CT shows high 18F-fluorodeoxyglucose uptake at the site of the mass (maximum standardized uptake value: 7.07–8.51) i,797,297,1,
aspect_only,images/relevant/09836-12830431__261_2025_5058_Fig5_HTML.jpg,aspect_only__09836-12830431__261_2025_5058_Fig5_HTML.jpg,wide_aspect_2.06,"Stage IC carcinosarcoma, no LVSI in a 67-year-old woman. A Sagittal T2-weighted fast spin-echo (FSE) image (TR/TE: 4500/100 ms; slice thickness: 3 mm) and B Sagittal contrast-enhanced 3D T1-weighted f",685,332,1,
aspect_only,images/relevant/08473-12100755__CCR3-13-e70528-g002.jpg,aspect_only__08473-12100755__CCR3-13-e70528-g002.jpg,wide_aspect_1.81,"Abdominal CT scan (coronal view) with contrast revealed a large cystic mass with solid component and thick calcified walls. The mass is of unclear origin, displacing abdominal viscera. It measured 27 ",709,392,1,
aspect_only,images/relevant/09167-12527823__rjaf803f1.jpg,aspect_only__09167-12527823__rjaf803f1.jpg,wide_aspect_2.62,"Uterine inversion with submucosal leiomyoma on the corpus. The mass was found to be eroded and covered with slough. A point-like structure was identified at the apex of the mass, suspected of being th",800,305,1,
aspect_only,images/relevant/07618-11600737__13256_2024_4805_Fig3_HTML.jpg,aspect_only__07618-11600737__13256_2024_4805_Fig3_HTML.jpg,wide_aspect_2.58,Normal fetus and molar pregnancy in different amniotic sacs,1770,686,1,
aspect_only,images/relevant/03058-6250559__medi-97-e12946-g001.jpg,aspect_only__03058-6250559__medi-97-e12946-g001.jpg,wide_aspect_2.95,"A, Ultrasonography identified a 3.3 cm hypoechoic, irregular lesion. B, Doppler image.",800,271,1,
aspect_only,images/relevant/01829-4996928__gr1.jpg,aspect_only__01829-4996928__gr1.jpg,tall_aspect_0.46,"Mammogram: Mammogram (craniocaudal) showing an under-skin marker at the site of palpable abnormality. There is an ill-defined soft-tissue asymmetry, which blends with the rest of the breast tissue.",664,1444,0,
aspect_only,images/relevant/08443-12087059__13256_2025_5296_Fig4_HTML.jpg,aspect_only__08443-12087059__13256_2025_5296_Fig4_HTML.jpg,wide_aspect_2.45,Estimation of the breast cancer lesion using subcutaneous mammary veins as the benchmark (partial mastectomy). a The positional relationship between the breast cancer lesion in the contrast-enhanced c,1592,650,1,
aspect_only,images/relevant/09107-12500588__fonc-15-1601929-g002.jpg,aspect_only__09107-12500588__fonc-15-1601929-g002.jpg,wide_aspect_1.93,"Example of our preprocessing pipeline, cropped to the identified Region of Interest of the breast region, using Otsu’s Thresholding.",790,409,1,
aspect_only,images/relevant/04679-9424078__1349-7235-61-2387-g002.jpg,aspect_only__04679-9424078__1349-7235-61-2387-g002.jpg,wide_aspect_2.79,"A: The patient presented with erythema, skin edema, and skin tension in both breasts. A skin biopsy was performed in the black-marked area. B: Magnetic resonance imaging findings of the patient showin",661,237,1,
both_signals,images/relevant/00864-3800733__jbc-16-345-g001.jpg,both_signals__00864-3800733__jbc-16-345-g001.jpg,panel_letters_x2;panel_word;wide_aspect_3.55,"Computed tomography image of anal rhabdomyosarcoma. (A) Heterogenous enhancing mass, 8.5 cm sized in largest diameter, was noted around anus on computed tomography. (B) About 2.5 cm sized, enlarged ly",734,207,1,
both_signals,images/relevant/09409-12614461__fonc-15-1640302-g005.jpg,both_signals__09409-12614461__fonc-15-1640302-g005.jpg,panel_letter_list;wide_aspect_3.22,"Under the microscope, a large area of necrosis can be seen in the lymph node, surrounded by fibrous tissue or granuloma. H&E ×27.",734,228,1,
both_signals,images/relevant/09689-12747989__fonc-15-1710242-g004.jpg,both_signals__09689-12747989__fonc-15-1710242-g004.jpg,panel_letters_x4;tall_aspect_0.47,"(A) Immunohistochemistry showed diffuse positive staining for CD10 in CCRCC, whereas CD10 staining was negative in metastatic lesions. (×200). (B) Immunohistochemistry showed nuclear staining of PAX-8",706,1495,1,
both_signals,images/relevant/07292-11406474__cureus-0016-00000067047-i02.jpg,both_signals__07292-11406474__cureus-0016-00000067047-i02.jpg,panel_letters_x3;panel_letter_list;panel_word;wide_aspect_1.94,(a) A small enhancing nodule measuring 13 mm in the right lobe in segment VII identified on CECT; (b) a heterogeneously enhancing solid mass lesion measuring 34 x 32 mm in the right post-parietal regi,750,387,1,
both_signals,images/relevant/09977-12904953__404_2026_8341_Fig2_HTML.jpg,both_signals__09977-12904953__404_2026_8341_Fig2_HTML.jpg,panel_letters_x2;panel_word;wide_aspect_2.91,Post-cesarean section axial computed tomography images of the thorax (A) and abdomen (B) reveal a consolidation in the superior segment of the right lower lobe (black arrow) and a subtle fracture invo,748,257,1,
both_signals,images/relevant/02476-5801832__12885_2018_4054_Fig2_HTML.jpg,both_signals__02476-5801832__12885_2018_4054_Fig2_HTML.jpg,panel_letters_x2;wide_aspect_2.54,Immunohistochemistry showing cytokeratin 19 (a) and estrogen receptor (b),472,186,1,
both_signals,images/relevant/05602-10408235__12890_2023_2569_Fig4_HTML.jpg,both_signals__05602-10408235__12890_2023_2569_Fig4_HTML.jpg,panel_word;wide_aspect_1.87,High-resolution computed tomography images of the chest at the time of diagnosis in case 3. The images show frosted shadows and consolidations in the left lung and right lower lobe. The right upper lo,778,415,1,
both_signals,images/relevant/09004-12401254__medi-104-e44208-g001.jpg,both_signals__09004-12401254__medi-104-e44208-g001.jpg,panel_letters_x3;panel_letter_list;panel_word;wide_aspect_2.33,Images of measurement of MCA-PSV and IPSVS (A) markedly increased MCA-PSV. (B–E) abnormal channels between both LPV and RPV and MHV with the maximum width of 0.37 cm. (E) The collateral vessel showed,800,343,1,
both_signals,images/relevant/09423-12623610__10.1177_20584601251398263-fig2.jpg,both_signals__09423-12623610__10.1177_20584601251398263-fig2.jpg,panel_letters_x2;panel_word;wide_aspect_2.50,Ultrasound of the left breast showing a large heterogenous lesion with cystic areas within. Doppler colour shows the internal blood vessels (a) and (b).,754,301,1,
both_signals,images/relevant/05265-10102355__fsurg-10-997338-g001.jpg,both_signals__05265-10102355__fsurg-10-997338-g001.jpg,panel_letters_x2;wide_aspect_3.15,(A) Preoperative ultrasound showed multiple uterine leiomyomas. (B) Ultrasound image of normal uterus 6 months after surgery.,700,222,1,
both_signals,images/relevant/07856-11784609__gr2.jpg,both_signals__07856-11784609__gr2.jpg,panel_word;wide_aspect_2.44,"Abdominopelvic ultrasonography between baseline and day-360 baseline ultrasound revealed normal-sized ovaries with multiple follicles, consistent with PCOS: right ovary at 2.8 × 1.6 cm, left at 3.4 × ",776,318,1,
both_signals,images/relevant/04608-9304877__gr3.jpg,both_signals__04608-9304877__gr3.jpg,panel_letters_x2;wide_aspect_2.35,(A) T2 axial presents normal parenchymal organs without signs for focal lesions. (B) T2 axial presents normal parenchymal organs without signs for focal lesions.,792,337,1,
both_signals,images/relevant/06589-11040999__13256_2024_4476_Fig1_HTML.jpg,both_signals__06589-11040999__13256_2024_4476_Fig1_HTML.jpg,panel_word;wide_aspect_2.07,A Computed tomography scan showing paraaortic lymph nod (appointed with red arrow) e measuring 17 × 12 mm and B left pelvic lymph node (appointed with red arrow) measuring 16 × 5 × 10 mm,796,385,1,
both_signals,images/relevant/02919-6159123__bjrcr.20150038.g001.jpg,both_signals__02919-6159123__bjrcr.20150038.g001.jpg,panel_letters_x2;panel_word;wide_aspect_2.96,"Free-breathing transverse (a) and sagittal (b) planning CT images from Eclipse™ planning system (Varian Medical Systems, Palo Alto, CA). The delineated liver (light yellow contour line), right lung (d",613,207,1,
both_signals,images/relevant/07536-11547022__ijms-25-11567-g004.jpg,both_signals__07536-11547022__ijms-25-11567-g004.jpg,panel_letters_x2;wide_aspect_2.50,Representative FAP staining of MDA-MB-231 xenograft (high magnification). FAP expression was noted in the (a) tumor cells and (b) stroma. Scale bars = 25 μm.,742,297,1,
both_signals,images/relevant/05007-9741496__gr2_lrg.jpg,both_signals__05007-9741496__gr2_lrg.jpg,panel_letters_x3;panel_word;wide_aspect_1.87,Cases with hypoxic-ischemic encephalopathy. A 31-weeks-and-1-day-old female born to a coronavirus disease 2019 (COVID-19) symptomatic mother. The neonate had minimal reaction to physical examination a,740,395,1,
both_signals,images/relevant/07438-11485382__qims-14-10-7587-f2.jpg,both_signals__07438-11485382__qims-14-10-7587-f2.jpg,panel_letters_x8;panel_word;wide_aspect_2.61,Scans of a 56-year-old female patient with cervical squamous cell carcinoma (phase IIIB FIGO staging). The circle represents the lesion area. (A) TVUS showed hypoechogenicity in the lower cervical seg,792,304,1,
both_signals,images/relevant/05328-10187598__JCAS-6-307-g016.jpg,both_signals__05328-10187598__JCAS-6-307-g016.jpg,panel_letters_x2;panel_letter_list;wide_aspect_3.02,"(a and b): (a) Greyscale ultrasound image shows a circumscribed hypoechoic mass (blue arrow) at 5 o’clock near the inframammary fold, in the dermal planes, extending into the subcutaneous tissues. (b)",523,173,1,
both_signals,images/relevant/03416-6701377__JCB-11-36866-g004.jpg,both_signals__03416-6701377__JCB-11-36866-g004.jpg,panel_word;wide_aspect_2.63,A) MRI with dose distribution illustrating alternation of the tandem and needle location between the dose fractions with the dose distribution included. Panel A illustrates the needle in the left para,722,275,1,
both_signals,images/relevant/05284-10137930__diagnostics-13-01433-g001.jpg,both_signals__05284-10137930__diagnostics-13-01433-g001.jpg,panel_letters_x3;wide_aspect_3.15,(a) Axial CT image showing a marked narrowing of the anterior superior branch of the LRV (arrow) as it courses between the superior mesenteric artery (arrowhead) and the abdominal aorta (asterisk). (b,766,243,1,
both_signals,images/relevant/01531-4691015__12885_2015_2031_Fig3_HTML.jpg,both_signals__01531-4691015__12885_2015_2031_Fig3_HTML.jpg,panel_word;wide_aspect_2.73,Chest MRI and CT examination before (left) and after (right) surgical abortion. The volume of the largest pulmonary manifestation decreased from 30.02 cm3 to 3.51 cm3,472,173,1,
both_signals,images/relevant/08766-12242359__usg-25048f10.jpg,both_signals__08766-12242359__usg-25048f10.jpg,panel_word;wide_aspect_2.39,A 56-year-old woman undergoing screening.A. A craniocaudal spot magnification mammogram shows grouped pleomorphic calcifications (arrows) in the left subareolar area. Multiple groups of round calcific,700,293,1,
both_signals,images/relevant/07118-11312504__ijms-25-08506-g007.jpg,both_signals__07118-11312504__ijms-25-08506-g007.jpg,panel_letters_x2;wide_aspect_2.79,"Ultrasound presents a mammary gland with multiple lesions at 2–3 o’clock with spiculated margins and a non-circumscribed shape, with a linear/ductal distribution: (a) Measured lesion; (b) Insertion of",743,266,1,
both_signals,images/relevant/04474-9011316__atm-10-06-387-f5.jpg,both_signals__04474-9011316__atm-10-06-387-f5.jpg,panel_word;wide_aspect_1.92,Contrast-enhanced CT images of the abdomen. (A-D) Nodules and mass inside the left side of the greater omentum and between the stomach and abdominal aorta were not obvious. Two small nodules almost di,775,404,1,
both_signals,images/relevant/01133-4197888__CRIM2014-146956.007.jpg,both_signals__01133-4197888__CRIM2014-146956.007.jpg,panel_letter_list;tall_aspect_0.25,"Pathological diagnosis: routine hematoxylin-eosin stained section of the skin of abdominal wall (a and b) revealed lymphocytic and granulomatous infiltration, with epithelioid macrophages and sparse e",600,2447,1,
both_signals,images/relevant/00192-12705379__fonc-15-1699233-g002.jpg,both_signals__00192-12705379__fonc-15-1699233-g002.jpg,panel_letters_x2;wide_aspect_3.36,Ultrasound evaluation of hepatic metastasis (A) 28 weeks of gestation and (B) at 33 weeks of gestation.,698,208,1,
both_signals,images/relevant/04647-9371877__CRIOG2022-2012376.002.jpg,both_signals__04647-9371877__CRIOG2022-2012376.002.jpg,panel_letters_x2;panel_word;wide_aspect_2.05,"Abdominal computed tomography of the tumor. The tumor was with solid and cystic components in the right pelvic cavity. (a) Sagittal view (arrow), (b) coronal view (arrow).",773,377,1,
both_signals,images/relevant/01371-4466583__srep11000-f2.jpg,both_signals__01371-4466583__srep11000-f2.jpg,panel_word;wide_aspect_4.64,24-year-old young woman with bilateral ovarian yolk sac tumors.A A solid cystic mass with heterogeneous moderate to marked enhancement in the left pelvic cavity (black arrow). B An enlarged vessel is,700,151,1,
both_signals,images/relevant/00732-3531935__cro-0005-0616-g02.jpg,both_signals__00732-3531935__cro-0005-0616-g02.jpg,panel_word;tall_aspect_0.43,Right thoracic interpectoral adenopathy detected by FDG-PET/CT.,657,1517,0,
both_signals,images/relevant/10093-12973651__12884_2026_8756_Fig3_HTML.jpg,both_signals__10093-12973651__12884_2026_8756_Fig3_HTML.jpg,panel_word;wide_aspect_2.49,"Sagittal and axial T1 planes of the patient’s MRI brain from 3/11/25, which revealed tumor progression into the left cavernous sinus with further displacement of the left optic nerve",646,259,1,
both_signals,images/relevant/09531-12683742__kjr-26-1133-g007.jpg,both_signals__09531-12683742__kjr-26-1133-g007.jpg,panel_letters_x2;panel_letter_list;panel_word;wide_aspect_2.09,A 45-year-old woman with a benign NML due to stromal fibrosis. A: Right magnification craniocaudal mammographic image shows architectural distortion (arrow). A radiopaque skin marker was placed over t,692,331,1,
both_signals,images/relevant/05422-10243648__JMI-010-S22409-g013.jpg,both_signals__05422-10243648__JMI-010-S22409-g013.jpg,panel_letters_x2;wide_aspect_2.10,UDF case 8: (a) data conditioner detections projected onto the CC view and (b) the fused output.,785,374,1,
both_signals,images/relevant/06222-10847695__gr2.jpg,both_signals__06222-10847695__gr2.jpg,panel_letters_x2;panel_letter_list;wide_aspect_2.63,"Punch biopsy demonstrating dermal perivascular lymphocytic infiltrate consistent with dermatomyositis. H&E 40× (A), 100× (B) magnification. H&E, Hematoxylin and eosin.",711,270,1,
both_signals,images/relevant/09226-12539756__cureus-0017-00000092863-i03.jpg,both_signals__09226-12539756__cureus-0017-00000092863-i03.jpg,panel_letters_x2;wide_aspect_2.19,Sagittal and axial CT views of emphysematous cystitis.(A) Sagittal CT angiography showing gas tracking circumferentially within the bladder wall. (B) Axial CT angiography confirming intramural gas thr,750,343,1,
both_signals,images/relevant/05164-9992788__fonc-13-1106890-g003.jpg,both_signals__05164-9992788__fonc-13-1106890-g003.jpg,panel_word;wide_aspect_3.09,"Ultrasound-guided percutaneous biopsy for the 68Ga-DOTATATE-avid left axilla and right inguinal lymph nodes. The pathological results revealed metastatic invasive lobular breast carcinoma (A, left axi",708,229,1,
both_signals,images/relevant/03483-6884983__JCIS-9-46-g002.jpg,both_signals__03483-6884983__JCIS-9-46-g002.jpg,panel_letters_x2;panel_word;wide_aspect_2.46,"A 36-year-old HIV positive male presented with a painless hard palpable “pea-size” lump in the left breast, upper outer quadrant, present for many years, increased in size over the most recent 6 month",697,283,1,
both_signals,images/relevant/07621-11602239__rjae743f4.jpg,both_signals__07621-11602239__rjae743f4.jpg,panel_letters_x4;panel_letter_list;wide_aspect_3.85,"Pathological and immunohistochemical findings: (a) hematoxylin and eosin (HE), (b) CD20, and (c) CD79. (a) HE staining reveals nodular lymphocytic proliferation replacing the entire ovary, with monoto",666,173,1,
both_signals,images/relevant/04149-8403704__gr1.jpg,both_signals__04149-8403704__gr1.jpg,panel_word;wide_aspect_2.51,Ultrasound images of a 23-year-old female with breast lesion show a well-defined cystic lesion (31 × 27 × 17 mm) with thick wall and internal thick components in the left upper outer quadrant at 2 o'c,729,291,1,
both_signals,images/relevant/06719-11119575__12880_2024_1282_Fig2_HTML.jpg,both_signals__06719-11119575__12880_2024_1282_Fig2_HTML.jpg,panel_word;wide_aspect_5.40,"Visualisation of the corticospinal tract highlighted on a DTI skeleton. Images showing visualization of the CST region FA, along 3 different planes. L-R denotes radiological orientation where L = left",669,124,1,
both_signals,images/relevant/06380-10945424__fphar-15-1356167-g003.jpg,both_signals__06380-10945424__fphar-15-1356167-g003.jpg,panel_letters_x2;wide_aspect_2.82,Imaging pictures of the patient at admission. (A) breast ultrasound; (B) lymph node ultrasound.,708,251,1,
caption_letter_and_word,images/relevant/02865-6114966__oncotarget-09-31744-g004.jpg,caption_letter_and_word__02865-6114966__oncotarget-09-31744-g004.jpg,panel_letters_x5;panel_letter_list;panel_word,"Patient with PBS Sc 3 and trunk SPECT/CT Sc 1 proved as true positive by follow-upIn a 79-year-old female with newly diagnosed breast cancer with involved lymph node (T1N1), PBS in ventral (A) and dor",698,627,1,
caption_letter_and_word,images/relevant/07422-11468341__10.1177_23247096241272013-fig7.jpg,caption_letter_and_word__07422-11468341__10.1177_23247096241272013-fig7.jpg,panel_letter_list;panel_word,"Patient 5. (A, B, C, D) Chest CT showing lung parenchyma with normal morphology and density. A 29 × 34 mm pulmonary nodule is found in the lateral segment of the left lower lobe, with poorly defined b",644,399,1,
caption_letter_and_word,images/relevant/06958-11231513__gr1.jpg,caption_letter_and_word__06958-11231513__gr1.jpg,panel_letters_x2;panel_word,MLO (A) and CC (B) views of the left breast from screening mammogram demonstrate marked trabecular thickening of the left axillary tail on the MLO view.,714,473,1,
caption_letter_and_word,images/relevant/07926-11835984__scr-11-01-24-0042-g001.jpg,caption_letter_and_word__07926-11835984__scr-11-01-24-0042-g001.jpg,panel_letters_x3;panel_word,Enhanced CT and 3D reconstruction images before chemotherapy. (A) A 19 mm low-density tumor (arrow) is seen at the origin of the right and left branches of the portal vein and the abnormal P7. (B) A 1,747,567,1,
caption_letter_and_word,images/relevant/08909-12318870__PAMJ-51-25-g002.jpg,caption_letter_and_word__08909-12318870__PAMJ-51-25-g002.jpg,panel_letters_x2;panel_letter_list;panel_word,"axial (A) and coronal (B) T2-weighted MR images demonstrating a right-sided perineal mass with irregular, stellate contours extending toward the posterolateral wall of the distal third of the vagina a",696,525,1,
caption_letter_and_word,images/relevant/08202-11977427__amjcaserep-26-e946680-g004.jpg,caption_letter_and_word__08202-11977427__amjcaserep-26-e946680-g004.jpg,panel_letters_x4;panel_word,"Intraoperative images of second cytoreductive surgery. (A) the resection of a quadratus lumborum muscle metastasis, (B) the tumor on the greater curvature of stomach, resected en bloc with a portion o",780,636,1,
caption_letter_and_word,images/relevant/03458-6831356__medi-98-e15395-g001.jpg,caption_letter_and_word__03458-6831356__medi-98-e15395-g001.jpg,panel_letters_x4;panel_word,(A) Solid cystic hypoechoic adnexal mass. (B) Sagittal enhanced T1-weighted image showing an irregular lesion of approximately 2.5 × 2.7 cm in the left accessory area. (C) Ovarian biopsy; hematoxylin,800,602,1,
caption_letter_and_word,images/relevant/07545-11556468__AAM-23-529-g001.jpg,caption_letter_and_word__07545-11556468__AAM-23-529-g001.jpg,panel_letters_x2;panel_letter_list;panel_word,35-year female high-resolution ultrasound breast (a) Showed well-defined lobulated heterogeneously hypoechoic wider than tall lesion in right breast at 9’o clock position. Histopathology examination (,505,301,1,
